axis,role,topic_id,n_matched_sentences,share_of_axis_pct,label
luxury_H3,target,61,698,4.59,Planning to Exchange Rings
luxury_H3,target,18,653,4.29,Ordering A Gown For Her
luxury_H3,target,22,449,2.95,Negotiating Payment and Debts
luxury_H3,target,125,418,2.75,Furnished Room Described in Detail
luxury_H3,target,17,395,2.6,Discussing Rooms and Privacy
luxury_H3,target,139,306,2.01,Admiring Her Grace and Beauty
luxury_H3,target,0,298,1.96,Moving Through Doorways and Vehicles
luxury_H3,target,191,281,1.85,Working to Pay The Bills
luxury_H3,target,27,264,1.74,Racing The Approaching Storm
luxury_H3,target,253,248,1.63,Hair Pinned Up in Style
security_H4,target,119,4631,8.34,Offering to Keep Her Safe
security_H4,target,46,2166,3.9,Asking Someone to Trust You
security_H4,target,129,2020,3.64,Accused of Not Caring
security_H4,target,4,1548,2.79,Refusing to Be Used
security_H4,target,160,1347,2.43,Watching Movies Together
security_H4,target,185,1320,2.38,Promising to Handle It
security_H4,target,66,1143,2.06,Paralyzed By Deep-Seated Fear
security_H4,target,281,940,1.69,Told to Calm Down First
security_H4,target,366,902,1.63,Paralyzed By Irrational Fear
security_H4,target,282,869,1.57,Struggling to Surrender Control
luxury_strict,target_strict,17,217,8.79,Discussing Rooms and Privacy
luxury_strict,target_strict,49,176,7.13,Drinking at The Bar
luxury_strict,target_strict,32,176,7.13,Offering Someone A Drink
luxury_strict,target_strict,0,102,4.13,Moving Through Doorways and Vehicles
luxury_strict,target_strict,125,98,3.97,Furnished Room Described in Detail
luxury_strict,target_strict,106,86,3.48,Running Along The River Bank
luxury_strict,target_strict,18,65,2.63,Ordering A Gown For Her
luxury_strict,target_strict,364,48,1.94,Noticing What He Wears
luxury_strict,target_strict,22,46,1.86,Negotiating Payment and Debts
luxury_strict,target_strict,191,39,1.58,Working to Pay The Bills
security_strict,target_strict,119,1511,13.77,Offering to Keep Her Safe
security_strict,target_strict,4,374,3.41,Refusing to Be Used
security_strict,target_strict,66,206,1.88,Paralyzed By Deep-Seated Fear
security_strict,target_strict,275,175,1.59,Joking About Military Service
