figure_id,figure_name,presentation_level,notebook_source,table_source,variables_used,statistical_measure,confirmatory_or_exploratory,measurement_warning,output_path
fig01,Contextual agreement H1–H6,main,01–06 lexical_contextual_agreement,01–06 lexical_contextual_agreement,agreement_pct = n_agree/n_total,agreement_pct = n_agree/n_total,methodological,,/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/presentation_figures/fig01_contextual_agreement.png
fig02,Measurement-status strip,main,final_verdict_table; construct_coverage.json,final_verdict_table; construct_coverage.json,measurement_status; topic counts,measurement_status; topic counts,confirmatory,H2/H3 unmeasurable — not zero effects,/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/presentation_figures/fig02_measurement_status.png
fig03,Primary hypothesis verdicts,main,final_verdict_table; primary_h1_h6_table,final_verdict_table; primary_h1_h6_table,cliffs_delta; CI; final_bucket,cliffs_delta; CI; final_bucket,confirmatory,Unmeasurable not plotted at 0,/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/presentation_figures/fig03_primary_hypothesis_verdicts.png
fig04,Stage 10 → Stage 11 transition,main,stage10_vs_final_side_by_side,stage10_vs_final_side_by_side,original_delta; refined_delta,original_delta; refined_delta,confirmatory,"H2/H3 endpoint is categorical, not δ=0",/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/presentation_figures/fig04_stage10_stage11_transition.png
fig05,Component-effect forest,main,component_effects,component_effects,cliffs_delta; CI; measurement_gate,cliffs_delta; CI; measurement_gate,confirmatory_component,Thin protection flagged with open marker,/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/presentation_figures/fig05_component_effects.png
fig05b,Component evidence matrix,main,component_effects; primary_h1_h6_table; robustness_traffic_light,component_effects; primary_h1_h6_table; robustness_traffic_light,clears_delta_gate; adjusted_*; specification_stable,clears_delta_gate; adjusted_*; specification_stable,confirmatory_component,Exposes H1 adj. disagreement; danger quality n.s.,/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/presentation_figures/fig05b_component_evidence_matrix.png
fig06,Attention-shift diverging bars,main,attention_waterfall,attention_waterfall,diff_pp,diff_pp,exploratory,,/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/presentation_figures/fig06_attention_shift.png
appendix_richness,Thematic richness two-panel,appendix,thematic_richness_cliffs_delta; thematic_richness_vs_drivers,thematic_richness_cliffs_delta; thematic_richness_vs_drivers,cliffs_delta; M1/M2 taxonomy_n_eff β,cliffs_delta; M1/M2 taxonomy_n_eff β,exploratory,Suppression — not attenuation,/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/presentation_figures/appendix_richness.png
appendix_danger_protection,Danger × protection interaction,appendix,danger_x_protection_reused; danger_x_protection_quadrants_reused,danger_x_protection_reused; danger_x_protection_quadrants_reused,mean_rating by quadrant; interaction p,mean_rating by quadrant; interaction p,exploratory,Interaction n.s. — do not claim synergy,/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/presentation_figures/appendix_danger_protection_interaction.png
appendix_security_care,Security/care specificity small multiples,appendix,strict_moderate_broad_trajectories_reused,strict_moderate_broad_trajectories_reused,cliffs_delta by strict/moderate/broad,cliffs_delta by strict/moderate/broad,exploratory,Broad protective commitment collapses toward 0,/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/presentation_figures/appendix_security_care_specificity.png
appendix_promise,Promise-function dot-and-whisker,appendix,promise_type_comparison_reused,promise_type_comparison_reused,cliffs_delta; n_topics,cliffs_delta; n_topics,exploratory,Flag few-topic bundles,/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/presentation_figures/appendix_promise_functions.png
appendix_quality_reach,Quality versus reach,appendix,quality_reach_standardized_betas,quality_reach_standardized_betas,quality; reach standardized betas,quality; reach standardized betas,exploratory,Opacity encodes quality significance,/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/presentation_figures/appendix_quality_reach.png
appendix_function_drift,Contextual function drift,appendix,cell_stability_by_hypothesis,cell_stability_by_hypothesis,n_differs / n_with_both_high_prev,n_differs / n_with_both_high_prev,methodological,H2 not in table,/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/presentation_figures/appendix_function_drift.png
appendix_felt_vs_looked,Felt versus looked-at embodiment,appendix,felt_vs_looked_body,felt_vs_looked_body,cliffs_delta; n_topics,cliffs_delta; n_topics,exploratory,body_markings thin,/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/presentation_figures/appendix_felt_vs_looked.png
appendix_ees,Emotion / embodiment / social three-panel,appendix,emotion_effects; embodiment_effects; family_social_effects,emotion_effects; embodiment_effects; family_social_effects,cliffs_delta including emotion_containment,cliffs_delta including emotion_containment,exploratory,Includes emotion_containment (δ≈0.18),/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/presentation_figures/appendix_ees_three_panel.png
appendix_genre_era,Genre/era stability small multiples,appendix,genre_era_subgroup_deltas; component_effects,genre_era_subgroup_deltas; component_effects,subgroup cliffs_delta; overall reference,subgroup cliffs_delta; overall reference,exploratory,No formal subgroup CIs in source table,/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/presentation_figures/appendix_genre_era.png
