family,topic_id,topic_label,taxonomy_id,cliffs_delta,ci_low,ci_high,verdict
enacted_protection,68,Promising to Set Things Straight,9.2,0.0396831576126111,0.015707038784456805,0.061207334058316444,directional_only
enacted_protection,78,Swearing War Before He Takes Her,7.2,0.16482199251369667,0.14196895600167744,0.18609517979379644,clears_gate
enacted_protection,87,Threatening Death As A Warning,7.2,0.1618975663494191,0.1409223473531196,0.18292036373156983,clears_gate
enacted_protection,107,Gritted Teeth and Clenched Fists,1.1,0.0057315527537598054,-0.01560308454464451,0.02518706910648809,no reliable effect
enacted_protection,113,Knife Handed Over For Combat,7.2,0.07697198098075875,0.05538898509197201,0.09950974432924964,directional_only
enacted_protection,114,Guns Aimed Across The Room,7.2,0.1305603373324158,0.10868287481665329,0.15388303003153697,clears_gate
enacted_protection,122,Wound Bleeding and Blood Loss,1.2,0.12880941770739796,0.10994989538629213,0.15086932028344247,clears_gate
enacted_protection,119,Offering to Keep Her Safe,4.6,0.1596908019693486,0.14099617585143623,0.1815888402534488,clears_gate
enacted_protection,307,Hauling Someone Up The Stairs,4.6,0.08632467923947851,0.0672272640769888,0.10639960849305838,directional_only
enacted_protection,363,Asking The Sheriff For Help,10.3,0.09333587366875928,0.0725135509284836,0.11414712409536124,directional_only
emotional_security,6,Whispered Reassurance,4.6,0.014568096398286379,-0.00855630802817262,0.03627562138309589,no reliable effect
emotional_security,29,Confessing Long-Held Love,4.5,0.07981475350634515,0.058869906525920807,0.10259226405108439,directional_only
emotional_security,36,Eagerly Offering to Help,4.6,0.10589298469734931,0.0836150563253221,0.12774374286123544,directional_only
emotional_security,38,Admitting Shared Pain,4.2,0.04400813705143669,0.01889281861720475,0.0671894782901655,directional_only
emotional_security,45,Reassured Everything Will Be Fine,4.6,0.054565536604144205,0.03207375541867484,0.0780983870888887,directional_only
emotional_security,46,Asking Someone to Trust You,4.6,0.09336933049926865,0.07252242410316176,0.1127509955504969,directional_only
emotional_security,56,Promising Never to Hurt You,4.6,0.13765705282027207,0.11748152595545885,0.15742961916056994,clears_gate
emotional_security,59,Mother's Disapproval Looms,5.1,0.10181077706900221,0.0802095286001903,0.12334351291758375,directional_only
emotional_security,85,Offering and Refusing An Apology,4.4,-0.0186739098819656,-0.03997591308871342,0.0039041877371120567,no reliable effect
emotional_security,96,Confessing Long-Standing Worry,4.6,0.05785685686613329,0.0345650524469567,0.07802844881363975,directional_only
emotional_security,119,Offering to Keep Her Safe,4.6,0.1596908019693486,0.14099617585143623,0.1815888402534488,clears_gate
emotional_security,128,Confessing How Much You've Missed,4.5,0.1262266379563035,0.10569023156140074,0.1455966624385308,clears_gate
emotional_security,137,Pitching A Career Change,6.2,0.044254922222172866,0.022540365647766927,0.06424361713360403,directional_only
emotional_security,141,Warned to Use His Title,6.3,0.05622863660971178,0.03645293984841319,0.07587268329691269,directional_only
emotional_security,157,Swearing to Save Him From Himself,4.5,0.05936117374588146,0.039983231998419175,0.07949365914618899,directional_only
emotional_security,161,Reassuring Squeeze on The Shoulder,4.6,0.06088052248404807,0.043465283558131375,0.07809812530834465,directional_only
emotional_security,175,Gentleman Offers Steadying Support,4.6,-0.01366337554099184,-0.02950824223796059,0.0054114699428139835,no reliable effect
emotional_security,193,Nurse Arranged After Hospital Release,4.6,0.13529927663924424,0.11431551921899719,0.15365297692456495,clears_gate
emotional_security,232,Conversation Cut Short By Arrival,4.2,0.07222286233291375,0.058643934276628666,0.0850924034241406,directional_only
emotional_security,238,Relaying A Message For Her,9.2,0.14801925712409747,0.1269741336012604,0.17022823505477544,clears_gate
emotional_security,240,Unsure How to Offer Comfort,4.6,0.07208929040652934,0.0534610334096188,0.09099613845421561,directional_only
emotional_security,242,Trading Forgiveness For Old Wrongs,4.5,0.04858179888584746,0.02559878970189271,0.07047907098298942,directional_only
