slide_id,step,element_id,action,speaker_cue
S08,1,axes,show,"First, look at the zero line"
S08,2,RAX_emotional_reassurance,show,"Reassurance is positive"
S08,3,RAX_tenderness_core,show,"Tenderness is nearly identical"
S08,4,RAX_appearance_grooming,show,"Appearance goes the other way"
S08,5,RAX_external_protection,show,"Largest estimate, but note measurement"
S04,1,all_trials,show,"Hundreds of configurations evaluated"
S04,2,pareto,show,"Pareto-efficient frontier"
S04,3,selected,show,"Selected model balances coherence and diversity"
S10,1,endpoints,show,"Quality and reach are separate channels"
S10,2,quality_themes,show,"Rating-specific themes"
S10,3,reach_themes,show,"Reach-specific themes"
S10,4,callout,show,"No leaf clears both gates"
