topic_id,score,side,radway_main_id,radway_secondary_id,radway_other_plausible_ids,radway_confidence,taxonomy_main_id,taxonomy_main_name,in_stage11_rising_atoms,in_stage11_falling_atoms,score_parts,in_current_h6,selected_new,selection_rank
29,10,rising,R11,R13,R12,high,4.5,"Reconciliation, Commitments & HEA",True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",False,True,1.0
38,10,rising,R10,R8,R9,high,4.2,Ongoing Courtship & Everyday Relational Bonding,True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",False,True,2.0
102,10,rising,R8,R9,R10,medium,3.2,Negative Emotions & Distress,True,True,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""taxonomy_relevant"": 1, ""radway_confidence_medium_high"": 1}",False,True,3.0
128,10,rising,R11,R10,R9,medium,4.5,"Reconciliation, Commitments & HEA",True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",False,True,4.0
157,10,rising,R11,R9,R13,medium,4.5,"Reconciliation, Commitments & HEA",True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",False,True,5.0
242,10,rising,R10,R11,R9,high,4.5,"Reconciliation, Commitments & HEA",True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",False,True,6.0
305,10,rising,R10,R11,R13,medium,4.5,"Reconciliation, Commitments & HEA",True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",False,True,7.0
338,10,rising,R9,R8,R11,medium,9.2,"Promise, Vow & Future-Tense Speech Acts",True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",False,True,8.0
6,9,rising,R8,R9,R10,high,4.6,"Emotional Safety, Reassurance & Caretaking",True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1}",False,True,9.0
36,9,rising,R8,R9,R10,medium,4.6,"Emotional Safety, Reassurance & Caretaking",True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1}",False,True,10.0
45,9,rising,R8,R9,R11,medium,4.6,"Emotional Safety, Reassurance & Caretaking",True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1}",False,True,11.0
46,9,rising,R8,R9,R10,medium,4.6,"Emotional Safety, Reassurance & Caretaking",True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1}",False,True,12.0
56,9,rising,R8,R11,R9,high,4.6,"Emotional Safety, Reassurance & Caretaking",True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1}",False,True,13.0
78,9,both,R11,R11,R6,low,7.2,"Violence, Threats & Non-Sexual Coercion",False,True,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""rising_high_main_bonus"": 1}",False,True,14.0
96,9,rising,R8,R9,R10,medium,4.6,"Emotional Safety, Reassurance & Caretaking",True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1}",False,True,15.0
100,9,rising,R8,R11,R13,medium,9.2,"Promise, Vow & Future-Tense Speech Acts",True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1}",False,True,16.0
119,9,rising,R8,R9,R10,high,4.6,"Emotional Safety, Reassurance & Caretaking",True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1}",False,True,17.0
124,9,rising,R8,R9,R13,medium,2.2,Kissing & Non-Explicit Affection,True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1}",False,True,18.0
126,9,rising,R8,R9,R12,high,2.2,Kissing & Non-Explicit Affection,True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1}",False,True,19.0
167,9,rising,R11,R13,,high,5.3a,Romantic Social Rituals & Public Couple Recognition,True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",False,True,20.0
175,9,both,R8,R9,R3,medium,4.6,"Emotional Safety, Reassurance & Caretaking",True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1}",False,True,21.0
232,9,falling,R3,R7,R2,medium,4.2,Ongoing Courtship & Everyday Relational Bonding,True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1}",False,True,22.0
240,9,rising,R8,R9,R10,medium,4.6,"Emotional Safety, Reassurance & Caretaking",True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1}",False,True,23.0
247,9,rising,R8,R11,R9,medium,4.6,"Emotional Safety, Reassurance & Caretaking",True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1}",False,True,24.0
293,9,falling,R2,R5,R7,medium,4.7,Jealousy & Possessive Romance Conflict,False,True,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1}",False,True,25.0
85,11,both,R10,R5,R2,medium,4.4,"Conflict, Distance & Breakup Threats",True,True,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""taxonomy_relevant"": 1, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",True,False,
3,10,falling,R2,R6,R5,medium,4.4,"Conflict, Distance & Breakup Threats",False,True,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""taxonomy_relevant"": 1, ""radway_confidence_medium_high"": 1}",True,False,
24,10,both,R11,R7,R5|R6,low,4.4,"Conflict, Distance & Breakup Threats",True,True,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""taxonomy_relevant"": 1, ""rising_high_main_bonus"": 1}",True,False,
43,10,falling,R2,R5,R6,medium,4.4,"Conflict, Distance & Breakup Threats",False,True,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""taxonomy_relevant"": 1, ""radway_confidence_medium_high"": 1}",True,False,
129,10,falling,R2,R5,R6,medium,4.4,"Conflict, Distance & Breakup Threats",False,True,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""taxonomy_relevant"": 1, ""radway_confidence_medium_high"": 1}",True,False,
256,10,falling,R7,R2,R5,medium,4.4,"Conflict, Distance & Breakup Threats",False,True,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""taxonomy_relevant"": 1, ""radway_confidence_medium_high"": 1}",True,False,
316,10,falling,R6,R2,R5,medium,4.4,"Conflict, Distance & Breakup Threats",False,True,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""taxonomy_relevant"": 1, ""radway_confidence_medium_high"": 1}",True,False,
37,9,falling,R2,R2,R5,low,4.3,"Secrets, Misunderstandings & Hidden Information",True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""taxonomy_relevant"": 1}",True,False,
177,9,both,R10,R8,R3,medium,4.3,"Secrets, Misunderstandings & Hidden Information",False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""taxonomy_relevant"": 1, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",True,False,
294,9,falling,R6,R2,R5,medium,7.2,"Violence, Threats & Non-Sexual Coercion",False,True,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1}",False,False,
301,9,both,R10,R3,R8,medium,4.3,"Secrets, Misunderstandings & Hidden Information",False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""taxonomy_relevant"": 1, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",True,False,
303,9,rising,R10,R9,R8,high,4.3,"Secrets, Misunderstandings & Hidden Information",False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""taxonomy_relevant"": 1, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",True,False,
355,9,rising,R8,R9,R10,medium,4.6,"Emotional Safety, Reassurance & Caretaking",True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1}",False,False,
51,8,falling,R6,R2,R1,medium,7.2,"Violence, Threats & Non-Sexual Coercion",False,True,"{""radway_main"": 3, ""radway_secondary"": 2, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1}",False,False,
62,8,rising,R10,R11,R9,medium,4.5,"Reconciliation, Commitments & HEA",False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",False,False,
80,8,rising,R11,R9,R10,medium,9.4,Interior Monologue Particles & Self-Talk,False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",False,False,
86,8,rising,R9,R8,R10,medium,4.2,Ongoing Courtship & Everyday Relational Bonding,False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",False,False,
94,8,falling,R2,R5,R7,medium,4.3,"Secrets, Misunderstandings & Hidden Information",False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""taxonomy_relevant"": 1, ""radway_confidence_medium_high"": 1}",True,False,
109,8,both,R3,R10,R7,medium,4.3,"Secrets, Misunderstandings & Hidden Information",False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""taxonomy_relevant"": 1, ""radway_confidence_medium_high"": 1}",True,False,
116,8,rising,R9,R8,R13,medium,4.2,Ongoing Courtship & Everyday Relational Bonding,False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",False,False,
135,8,rising,R11,R9,R13,medium,2.1,Attraction & Sexual Tension,False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",False,False,
197,8,rising,R9,R8,R12,medium,2.2,Kissing & Non-Explicit Affection,False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",False,False,
210,8,falling,R7,R1,R6,medium,4.4,"Conflict, Distance & Breakup Threats",False,True,"{""radway_main"": 3, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""taxonomy_relevant"": 1, ""radway_confidence_medium_high"": 1}",True,False,
214,8,falling,R3,R2,R5,medium,4.3,"Secrets, Misunderstandings & Hidden Information",False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""taxonomy_relevant"": 1, ""radway_confidence_medium_high"": 1}",True,False,
244,8,rising,R10,R11,R1,medium,3.2,Negative Emotions & Distress,False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""taxonomy_relevant"": 1, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",False,False,
264,8,falling,R2,R5,R3,medium,4.3,"Secrets, Misunderstandings & Hidden Information",False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""taxonomy_relevant"": 1, ""radway_confidence_medium_high"": 1}",True,False,
272,8,falling,R3,R5,R7,medium,4.3,"Secrets, Misunderstandings & Hidden Information",False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""taxonomy_relevant"": 1, ""radway_confidence_medium_high"": 1}",True,False,
281,8,rising,R8,R9,R10,medium,3.2,Negative Emotions & Distress,False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""taxonomy_relevant"": 1, ""radway_confidence_medium_high"": 1}",False,False,
282,8,rising,R10,R8,R9,medium,3.3,Ambivalence & Internal Conflict,False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",False,False,
314,8,both,R11,R10,R3,low,4.3,"Secrets, Misunderstandings & Hidden Information",False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""taxonomy_relevant"": 1, ""rising_high_main_bonus"": 1}",True,False,
315,8,falling,R6,R3,R4,medium,4.7,Jealousy & Possessive Romance Conflict,False,True,"{""radway_main"": 3, ""radway_secondary"": 2, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1}",False,False,
334,8,rising,R11,R9,R8,medium,4.1,First Contact & Relationship Setup,False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",False,False,
351,8,rising,R9,R8,R13,medium,4.2,Ongoing Courtship & Everyday Relational Bonding,False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",False,False,
356,8,rising,R8,R9,,medium,4.6,"Emotional Safety, Reassurance & Caretaking",True,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1}",False,False,
362,8,falling,R6,R3,R7,medium,4.3,"Secrets, Misunderstandings & Hidden Information",False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""taxonomy_relevant"": 1, ""radway_confidence_medium_high"": 1}",True,False,
1,7,rising,R12,R9,R8,high,2.3,Explicit Sexual Acts,False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""radway_confidence_medium_high"": 1}",False,False,
13,7,rising,R9,R8,,medium,9.3,"Humor, Banter & Light Register",False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",False,False,
64,7,rising,R1,R10,R9,medium,3.2,Negative Emotions & Distress,False,True,"{""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""taxonomy_relevant"": 1, ""radway_confidence_medium_high"": 1}",False,False,
65,7,rising,R11,R13,,high,4.5,"Reconciliation, Commitments & HEA",False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",False,False,
88,7,rising,R8,R9,R10,high,4.6,"Emotional Safety, Reassurance & Caretaking",False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""radway_confidence_medium_high"": 1}",False,False,
99,7,rising,R11,R10,R9,low,9.2,"Promise, Vow & Future-Tense Speech Acts",False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""rising_high_main_bonus"": 1}",False,False,
101,7,rising,R8,R9,R11,high,2.2,Kissing & Non-Explicit Affection,False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""radway_confidence_medium_high"": 1}",False,False,
105,7,rising,R8,R9,R11,medium,4.2,Ongoing Courtship & Everyday Relational Bonding,False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""radway_confidence_medium_high"": 1}",False,False,
117,7,falling,R6,R1,R5,medium,7.2,"Violence, Threats & Non-Sexual Coercion",False,True,"{""radway_main"": 3, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""radway_confidence_medium_high"": 1}",False,False,
142,7,falling,R3,R2,R5,medium,1.7,Facial Expression & Non-Sexual Nonverbal Cues,False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""radway_confidence_medium_high"": 1}",False,False,
145,7,rising,R1,R9,R10,medium,3.2,Negative Emotions & Distress,False,True,"{""radway_secondary"": 2, ""radway_other_plausible"": 1, ""stage11_refined_match"": 2, ""taxonomy_relevant"": 1, ""radway_confidence_medium_high"": 1}",False,False,
170,7,rising,R9,R8,R13,low,1.6,Character Appearance & Self-Presentation,False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""rising_high_main_bonus"": 1}",False,False,
185,7,rising,R8,R9,R11,medium,9.2,"Promise, Vow & Future-Tense Speech Acts",False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""radway_confidence_medium_high"": 1}",False,False,
204,7,rising,R11,R13,,medium,4.5,"Reconciliation, Commitments & HEA",False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_confidence_medium_high"": 1, ""rising_high_main_bonus"": 1}",False,False,
224,7,rising,R8,R11,R9,medium,4.6,"Emotional Safety, Reassurance & Caretaking",False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""radway_confidence_medium_high"": 1}",False,False,
231,7,falling,R5,R2,R7,medium,3.3,Ambivalence & Internal Conflict,False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""radway_confidence_medium_high"": 1}",False,False,
250,7,falling,R2,R5,R3,medium,9.3,"Humor, Banter & Light Register",False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""radway_confidence_medium_high"": 1}",False,False,
257,7,falling,R3,R5,R7,medium,9.4,Interior Monologue Particles & Self-Talk,False,False,"{""radway_main"": 3, ""radway_secondary"": 2, ""radway_other_plausible"": 1, ""radway_confidence_medium_high"": 1}",False,False,
